name,price,category,country_of_origin,expiration_date,search_tags,description
vacuum sealed paprika,396.33,vegetables,Germany,2019-02-15 00:00:00,domestic dried,frozen
frozen potatoes,290.54,vegetables,Spain,2020-12-03 00:00:00,vacuum sealed fruit,fresh
dried paprika,898.57,pastry,Brazil,2018-09-06 00:00:00,vacuum sealed dried,vacuum sealed
spicy beans,948.04,legumes,France,2018-02-07 00:00:00,domestic legumes,spicy
imported lentils,760.73,processed food,Germany,2020-06-19 00:00:00,frozen processed food,vacuum sealed
vacuum sealed beef,803.19,vegetables,Poland,2019-02-07 00:00:00,domestic meat,frozen
fresh tomato,141.78,processed food,Morocco,2020-12-07 00:00:00,dried processed food,smoked
vacuum sealed chicken,373.48,canned,Spain,2019-08-08 00:00:00,vacuum sealed pastry,vacuum sealed
vacuum sealed beef,856.78,dried,Morocco,2019-09-07 00:00:00,frozen dried,dried
smoked bread,608.66,dried,China,2020-07-15 00:00:00,fresh fruit,imported
frozen beans,494.83,meat,Morocco,2018-01-05 00:00:00,smoked meat,dried
dried bread,397.75,canned,Germany,2018-01-06 00:00:00,fresh dried,dried
imported chicken,340.21,pastry,Morocco,2018-04-03 00:00:00,frozen dried,fresh
imported beef,461.9,pastry,Poland,2018-09-21 00:00:00,fresh pastry,domestic
dried broccoli,18.02,fruit,Morocco,2019-04-23 00:00:00,imported meat,smoked
spicy buns,150.43,meat,Poland,2018-12-22 00:00:00,fresh processed food,spicy
domestic broccoli,910.58,fruit,China,2019-05-26 00:00:00,dried legumes,domestic
fresh beans,618.34,meat,Brazil,2020-05-10 00:00:00,frozen meat,dried
imported pork,59.72,dried,France,2019-06-18 00:00:00,dried fruit,smoked
imported gurkin,728.27,pastry,Morocco,2020-06-05 00:00:00,frozen processed food,vacuum sealed
smoked prawns,780.45,dried,Spain,2019-07-02 00:00:00,dried processed food,vacuum sealed
dried prawns,772.2,pastry,China,2020-01-08 00:00:00,domestic meat,frozen
vacuum sealed chicken,732.39,canned,Brazil,2019-08-04 00:00:00,vacuum sealed fruit,imported
domestic prawns,469.22,pastry,China,2020-06-12 00:00:00,vacuum sealed fruit,dried
smoked paprika,750.51,dried,Morocco,2019-06-06 00:00:00,vacuum sealed processed food,fresh
smoked bread,381.11,canned,Morocco,2018-08-05 00:00:00,frozen vegetables,imported
smoked lentils,302.45,pastry,Brazil,2018-03-01 00:00:00,spicy vegetables,imported
domestic prawns,674.48,pastry,Germany,2020-09-09 00:00:00,fresh vegetables,domestic
imported broccoli,631.41,vegetables,Poland,2019-10-08 00:00:00,frozen canned,vacuum sealed
imported broccoli,976.34,canned,Germany,2018-01-27 00:00:00,fresh legumes,imported
dried bread,565.82,fruit,China,2019-07-16 00:00:00,domestic processed food,dried
dried tomato,388.34,meat,France,2018-06-18 00:00:00,vacuum sealed processed food,smoked
fresh tomato,693.92,fruit,Brazil,2018-04-24 00:00:00,dried canned,domestic
smoked beans,247.08,dried,Brazil,2019-02-15 00:00:00,spicy meat,imported
dried buns,988.6,dried,Poland,2019-01-15 00:00:00,frozen pastry,imported
imported chicken,376.77,legumes,Germany,2020-10-05 00:00:00,smoked pastry,domestic
vacuum sealed pork,961.26,vegetables,Morocco,2020-06-03 00:00:00,smoked meat,domestic
imported lentils,849.99,pastry,Poland,2020-06-14 00:00:00,spicy processed food,smoked
frozen pork,694.54,dried,Poland,2019-06-09 00:00:00,imported canned,imported
imported lentils,357.59,canned,Spain,2018-06-02 00:00:00,frozen pastry,domestic
dried potatoes,741.73,canned,Brazil,2020-12-11 00:00:00,fresh fruit,spicy
vacuum sealed gurkin,720.94,meat,China,2019-03-15 00:00:00,dried dried,fresh
imported lentils,141.37,vegetables,France,2020-10-02 00:00:00,frozen vegetables,frozen
frozen prawns,109.22,legumes,France,2020-12-10 00:00:00,spicy dried,dried
dried prawns,49.61,fruit,Morocco,2020-07-05 00:00:00,spicy canned,smoked
imported chicken,924.57,fruit,Poland,2018-09-04 00:00:00,fresh legumes,vacuum sealed
vacuum sealed prawns,655.61,pastry,Brazil,2019-02-03 00:00:00,imported processed food,fresh
fresh beef,341.82,canned,China,2020-06-19 00:00:00,domestic canned,spicy
fresh beef,339.99,meat,Germany,2018-03-26 00:00:00,imported meat,fresh
smoked tomato,104.63,pastry,France,2019-02-04 00:00:00,vacuum sealed legumes,fresh
fresh beef,603.92,meat,France,2018-11-19 00:00:00,smoked processed food,imported
imported buns,904.77,canned,Germany,2018-01-21 00:00:00,vacuum sealed processed food,imported
vacuum sealed beef,820.66,processed food,France,2018-02-18 00:00:00,fresh vegetables,smoked
frozen buns,420.44,meat,Brazil,2018-12-07 00:00:00,smoked vegetables,vacuum sealed
fresh buns,651.23,legumes,China,2019-03-17 00:00:00,vacuum sealed legumes,smoked
smoked tomato,959.63,pastry,France,2020-04-02 00:00:00,domestic legumes,fresh
smoked potatoes,894.34,vegetables,Poland,2020-04-21 00:00:00,imported legumes,spicy
dried beans,810.9,legumes,Germany,2018-11-28 00:00:00,domestic pastry,frozen
smoked paprika,466.3,meat,China,2020-08-08 00:00:00,domestic meat,imported
imported beef,338.9,pastry,China,2018-06-28 00:00:00,spicy meat,domestic
vacuum sealed pork,649.71,canned,Morocco,2019-06-04 00:00:00,smoked processed food,imported
imported lentils,929.8,dried,Spain,2020-10-17 00:00:00,imported pastry,spicy
frozen paprika,701.67,processed food,Poland,2020-03-21 00:00:00,dried meat,vacuum sealed
imported gurkin,781.65,legumes,China,2019-02-28 00:00:00,dried dried,spicy
frozen buns,631.83,meat,Brazil,2020-01-16 00:00:00,dried pastry,imported
smoked chicken,472.07,dried,France,2019-04-12 00:00:00,domestic legumes,spicy
spicy beef,765.42,meat,France,2019-09-20 00:00:00,fresh pastry,frozen
fresh paprika,954.4,legumes,France,2020-01-27 00:00:00,vacuum sealed fruit,dried
spicy bread,842.62,legumes,Poland,2018-01-17 00:00:00,vacuum sealed canned,spicy
vacuum sealed beans,485.3,vegetables,Morocco,2018-08-20 00:00:00,imported dried,vacuum sealed
fresh lentils,693.55,fruit,China,2018-05-14 00:00:00,imported dried,smoked
frozen lentils,373.12,canned,Brazil,2020-11-14 00:00:00,frozen processed food,dried
dried gurkin,392.01,vegetables,Brazil,2018-02-27 00:00:00,frozen processed food,vacuum sealed
dried beans,269.98,legumes,China,2018-05-01 00:00:00,domestic vegetables,imported
vacuum sealed pork,410.33,meat,Spain,2020-05-25 00:00:00,imported vegetables,dried
domestic chicken,326.99,canned,Germany,2020-07-23 00:00:00,domestic vegetables,fresh
imported prawns,774.01,meat,Germany,2020-06-22 00:00:00,dried processed food,vacuum sealed
vacuum sealed potatoes,76.15,canned,Germany,2018-02-27 00:00:00,spicy vegetables,spicy
spicy prawns,121.04,pastry,China,2020-01-17 00:00:00,smoked canned,frozen
spicy beans,482.59,fruit,Morocco,2019-08-28 00:00:00,smoked canned,spicy
imported beans,215.4,dried,Spain,2018-10-23 00:00:00,domestic dried,smoked
vacuum sealed lentils,380.72,dried,Germany,2018-10-10 00:00:00,vacuum sealed fruit,dried
vacuum sealed bread,761.28,dried,France,2018-12-02 00:00:00,spicy meat,domestic
spicy chicken,822.45,canned,Spain,2019-12-12 00:00:00,smoked canned,fresh
spicy lentils,331.85,legumes,Poland,2019-06-28 00:00:00,dried pastry,dried
imported beans,218.98,legumes,Brazil,2018-09-26 00:00:00,vacuum sealed vegetables,domestic
vacuum sealed bread,663.41,pastry,Spain,2019-02-25 00:00:00,domestic vegetables,spicy
dried paprika,153.53,processed food,Brazil,2019-09-03 00:00:00,smoked processed food,frozen
domestic prawns,248.33,legumes,Spain,2019-09-20 00:00:00,spicy pastry,fresh
fresh beef,833.89,canned,China,2018-11-10 00:00:00,dried vegetables,smoked
dried pork,830.26,vegetables,Morocco,2018-12-21 00:00:00,fresh canned,dried
frozen gurkin,19.43,meat,Germany,2018-03-12 00:00:00,frozen pastry,imported
fresh beans,81.2,processed food,Spain,2020-02-08 00:00:00,spicy pastry,fresh
domestic broccoli,65.11,canned,Brazil,2019-06-19 00:00:00,vacuum sealed dried,spicy
fresh potatoes,262.33,dried,Morocco,2020-01-14 00:00:00,imported processed food,spicy
dried chicken,794.6,pastry,France,2018-08-04 00:00:00,spicy canned,domestic
vacuum sealed gurkin,862.64,legumes,Poland,2018-08-03 00:00:00,smoked fruit,dried
smoked potatoes,283.3,fruit,Spain,2019-06-26 00:00:00,smoked dried,smoked
frozen chicken,621.36,legumes,Poland,2020-05-15 00:00:00,dried canned,fresh
vacuum sealed pork,211.81,legumes,Germany,2019-03-19 00:00:00,dried fruit,frozen
domestic broccoli,238.21,canned,Poland,2019-05-20 00:00:00,domestic legumes,smoked
smoked prawns,618.46,pastry,Brazil,2019-05-11 00:00:00,spicy processed food,domestic
smoked lentils,953.19,dried,France,2019-03-13 00:00:00,smoked meat,spicy
smoked bread,224.79,vegetables,Morocco,2018-06-24 00:00:00,fresh meat,imported
frozen potatoes,870.91,canned,Poland,2020-06-26 00:00:00,frozen processed food,imported
vacuum sealed lentils,309.29,canned,Germany,2020-03-25 00:00:00,frozen meat,frozen
dried beef,307.31,meat,Poland,2020-11-13 00:00:00,dried vegetables,frozen
domestic prawns,972.2,pastry,France,2018-04-18 00:00:00,smoked processed food,imported
dried broccoli,725.72,vegetables,Spain,2020-11-04 00:00:00,imported processed food,domestic
dried paprika,857.51,dried,China,2018-12-27 00:00:00,dried fruit,fresh
domestic beef,876.93,fruit,Morocco,2020-02-08 00:00:00,spicy vegetables,fresh
domestic beans,908.13,pastry,China,2020-07-26 00:00:00,fresh fruit,smoked
fresh beef,351.9,legumes,Germany,2020-03-21 00:00:00,imported meat,dried
fresh broccoli,652.65,fruit,China,2019-08-18 00:00:00,smoked processed food,vacuum sealed
domestic gurkin,406.63,pastry,Germany,2020-11-01 00:00:00,spicy legumes,fresh
frozen paprika,134.42,legumes,Morocco,2020-06-04 00:00:00,smoked meat,vacuum sealed
imported beans,574.85,meat,Poland,2018-06-06 00:00:00,dried pastry,vacuum sealed
dried beans,312.24,legumes,Brazil,2020-06-16 00:00:00,frozen dried,fresh
vacuum sealed bread,624.44,legumes,France,2020-04-12 00:00:00,fresh legumes,vacuum sealed
dried broccoli,178.96,canned,France,2020-10-03 00:00:00,frozen pastry,frozen
dried tomato,193.02,vegetables,Brazil,2020-05-20 00:00:00,vacuum sealed processed food,vacuum sealed
fresh beans,834.67,vegetables,Germany,2020-03-07 00:00:00,spicy vegetables,smoked
frozen beef,697.73,pastry,Germany,2018-11-11 00:00:00,domestic legumes,dried
fresh broccoli,19.66,legumes,France,2018-07-26 00:00:00,dried vegetables,frozen
spicy beans,359.47,processed food,Morocco,2018-10-25 00:00:00,smoked meat,imported
dried chicken,865.88,legumes,Morocco,2019-12-18 00:00:00,vacuum sealed vegetables,domestic
domestic paprika,23.93,fruit,Morocco,2019-12-22 00:00:00,vacuum sealed pastry,spicy
domestic gurkin,80.39,processed food,China,2019-09-27 00:00:00,vacuum sealed vegetables,dried
fresh beef,121.63,pastry,China,2020-04-24 00:00:00,dried legumes,dried
vacuum sealed tomato,872.32,pastry,Brazil,2018-08-11 00:00:00,spicy legumes,dried
imported prawns,206.99,meat,China,2018-03-19 00:00:00,fresh dried,domestic
dried gurkin,6.43,legumes,Spain,2020-09-12 00:00:00,dried dried,frozen
smoked bread,774.98,processed food,China,2019-07-19 00:00:00,spicy vegetables,smoked
spicy buns,886.33,processed food,Poland,2020-05-03 00:00:00,dried vegetables,domestic
domestic bread,862.29,processed food,Spain,2020-11-03 00:00:00,frozen vegetables,smoked
imported potatoes,553.61,meat,France,2019-01-12 00:00:00,fresh legumes,smoked
dried buns,550.53,canned,Brazil,2020-10-07 00:00:00,domestic meat,vacuum sealed
smoked pork,447.7,legumes,Brazil,2018-01-22 00:00:00,spicy fruit,domestic
smoked tomato,670.24,vegetables,China,2018-04-14 00:00:00,spicy pastry,frozen
domestic beef,552.52,fruit,Morocco,2018-03-19 00:00:00,frozen canned,spicy
fresh pork,450.62,canned,France,2019-06-03 00:00:00,fresh legumes,dried
frozen broccoli,421.15,processed food,Spain,2020-03-07 00:00:00,frozen canned,imported
dried paprika,690.27,legumes,Brazil,2018-07-21 00:00:00,vacuum sealed pastry,spicy
fresh chicken,886.12,dried,Germany,2020-04-09 00:00:00,vacuum sealed processed food,imported
imported beef,35.09,legumes,Germany,2020-08-25 00:00:00,imported canned,vacuum sealed
vacuum sealed beans,398.15,processed food,Morocco,2019-09-13 00:00:00,vacuum sealed processed food,dried
frozen bread,295.17,processed food,Spain,2018-12-15 00:00:00,smoked fruit,spicy
domestic pork,5.34,meat,France,2020-12-23 00:00:00,smoked vegetables,vacuum sealed
frozen paprika,920.14,meat,Poland,2018-12-16 00:00:00,frozen pastry,vacuum sealed
dried lentils,753.97,legumes,China,2018-11-09 00:00:00,fresh pastry,fresh
domestic buns,517.77,meat,Poland,2020-08-25 00:00:00,imported canned,imported
dried beef,967.51,dried,Poland,2018-02-18 00:00:00,domestic canned,spicy
spicy potatoes,156.24,legumes,Spain,2020-03-25 00:00:00,smoked processed food,vacuum sealed
